oltra_id,oltra_hotelid,oltra_hotel_name,oltra_city,oltra_country,agoda_hotel_id,agoda_search_phrase,agoda_hotel_name,agoda_city,agoda_country,agoda_photo1,agoda_photo2,agoda_photo3,agoda_photo4,agoda_photo5,toolkit_html_or_image_url,notes
1001,,Khwai River Lodge,Okawango Delta,Botswana,,,,,,,,,,,,
1002,,Mombo Camp,,Botswana,,,,,,,,,,,,
1003,,Sanctuary Chief's Camp,,Botswana,,,,,,,,,,,,
1004,,Four Seasons Hotel Cairo at Nile Plaza,Cairo,Egypt,59295,"Four Seasons Hotel Cairo at Nile Plaza, Cairo, Egypt",Four Seasons Hotel Cairo at Nile Plaza,Cairo,Egypt,http://pix1.agoda.net/hotelimages/59295/-1/ce10a319976fa95fbe5bea516b1ca492.jpg?s=312x&ca=0&ce=1,http://pix3.agoda.net/hotelimages/592/59295/59295_17081510160055391602.jpg?s=312x&ca=6&ce=1,http://pix1.agoda.net/hotelimages/59295/-1/beb3788c0ba5a50e73cd6fe89bab828e.jpg?s=312x&ca=0&ce=1,http://pix1.agoda.net/hotelimages/59295/-1/e41dd951d5d888ec9232cc87a8a07f8c.jpg?s=312x&ca=0&ce=1,http://pix1.agoda.net/hotelimages/59295/-1/47f24a16063565937d7bc0cd4e887ee1.jpg?s=312x&ca=0&ce=1,,
1005,,Four Seasons Hotel Cairo at The First Residence,Cairo,Egypt,59294,"Four Seasons Hotel Cairo at The First Residence, Giza, Egypt",Four Seasons Hotel Cairo at The First Residence,Giza,Egypt,http://pix8.agoda.net/hotelImages/59294/8701176/d76efdaaebdbe489cfc8d4ab42f5a50a.jpeg?s=800x600,http://pix1.agoda.net/hotelimages/592/59294/59294_13070314590013805027.jpg?s=312x&ca=13&ce=1,,,,,
1006,,&Beyond Bateleur Camp,,Kenya,,,,,,,,,,,,
1007,,&Beyond Kichwa Tembo Kenya,,Kenya,,,,,,,,,,,,
1008,,Angama Amboseli,,Kenya,,,,,,,,,,,,
1009,,Angama Mara,,Kenya,,,,,,,,,,,,
1010,,Il Moran,,Kenya,,,,,,,,,,,,
1011,,Olarro Lodge,Inakara Road,Kenya,482846,"Olarro Lodge, Narok, Kenya",Olarro Lodge,Narok,Kenya,http://pix5.agoda.net/hotelimages/482/482846/482846_13091612370015416100.jpg?s=312x&ca=0&ce=1,http://pix5.agoda.net/hotelimages/482/482846/482846_13091612370015416101.jpg?s=312x&ca=0&ce=1,http://pix2.agoda.net/hotelimages/482/482846/482846_13091612370015416102.jpg?s=312x&ca=0&ce=1,http://pix3.agoda.net/hotelimages/482/482846/482846_13091612370015416103.jpg?s=312x&ca=0&ce=1,http://pix5.agoda.net/hotelimages/482/482846/482846_13091612370015416104.jpg?s=312x&ca=0&ce=1,,
1012,,JW Marriott,Le Morne Peninsula,Mauritius,,,,,,,,,,,,
1013,,One&Only Le Saint Geran,Poste De Flacq,Mauritius,222940,"One&Only Le Saint Geran Hotel, Mauritius Island, Mauritius",One&Only Le Saint Geran Hotel,Mauritius Island,Mauritius,http://pix4.agoda.net/hotelimages/222940/-1/bdcc46d6e0dae7c69075290ac4815ee7.jpg?s=312x&ca=0&ce=1,http://pix3.agoda.net/hotelimages/222/222940/222940_18050518320065242471.jpg?s=312x&ca=0&ce=1,http://pix1.agoda.net/hotelimages/222940/-1/c2afa9c7e87b7e3a743432f8d2007dae.jpg?s=312x&ca=0&ce=1,http://pix3.agoda.net/hotelimages/222940/-1/7e362a7b3dc25358c4875d66fb17d36b.jpg?s=312x&ca=0&ce=1,http://pix5.agoda.net/hotelimages/222940/-1/60ebd8d0dfcb0ceaf6e8456f8a735b55.jpg?s=312x&ca=0&ce=1,,
1014,,Royal Palm,Grand Baie,Mauritius,,,,,,,,,,,,
1015,,The Residence,Belle Mare,Mauritius,,,,,,,,,,,,
1016,,Amanjena,Marrakech,Morocco,12364142,"Amanjena, Marrakech, Morocco",Amanjena,Marrakech,Morocco,http://pix1.agoda.net/hotelimages/11094966/0/fb56c04d96ba173d808c3bad3aa95a2e.jpg?s=312x&ca=9&ce=1,http://pix5.agoda.net/hotelimages/11094966/0/a1d999d93dc5076b7a0e831b0a6509a3.jpg?s=312x&ca=9&ce=1,http://pix3.agoda.net/hotelimages/11094966/0/e645e4d3dda4e26883c78fcb1bda8218.jpg?s=312x&ca=9&ce=1,http://pix2.agoda.net/hotelimages/11094966/0/3f4cab0efae09f42ff6edd839635a89e.jpg?s=312x&ca=9&ce=1,http://pix5.agoda.net/hotelimages/11094966/0/bc3f47c9aca647da58b59f62fca89ced.jpg?s=312x&ca=9&ce=1,,
1017,,El Fenn,Marrakech,Morocco,9480661,"El Fenn, Marrakech, Morocco",El Fenn,Marrakech,Morocco,http://pix3.agoda.net/hotelimages/6772943/0/9270d0d097b027dca9d97b5c798fb851.jpeg?s=312x&ce=3,http://pix3.agoda.net/hotelimages/6772943/0/326cc7341c60af45a6df50346f483e24.jpeg?s=312x&ce=3,http://pix5.agoda.net/hotelimages/6772943/0/6cdd9a30f3b2618bacb77a32404dfa8e.jpeg?s=312x&ce=3,http://pix4.agoda.net/hotelimages/6772943/0/8157c1c8fdf6178032d9f609d271ec19.jpeg?s=312x&ce=3,http://pix1.agoda.net/hotelimages/6772943/0/e93fd02d7cd3eb56dece6e5c48a65feb.jpeg?s=312x&ce=3,,
