oltra_id,oltra_hotelid,oltra_hotel_name,oltra_city,oltra_country,agoda_hotel_id,agoda_hotel_name,agoda_city,agoda_country,score,source,decision,notes,second_best_agoda_hotel_id,second_best_agoda_hotel_name,second_best_score,agoda_full__hotel_id,agoda_full__chain_id,agoda_full__chain_name,agoda_full__brand_id,agoda_full__brand_name,agoda_full__hotel_name,agoda_full__hotel_formerly_name,agoda_full__hotel_translated_name,agoda_full__addressline1,agoda_full__addressline2,agoda_full__zipcode,agoda_full__city,agoda_full__state,agoda_full__country,agoda_full__countryisocode,agoda_full__star_rating,agoda_full__longitude,agoda_full__latitude,agoda_full__url,agoda_full__checkin,agoda_full__checkout,agoda_full__numberrooms,agoda_full__numberfloors,agoda_full__yearopened,agoda_full__yearrenovated,agoda_full__photo1,agoda_full__photo2,agoda_full__photo3,agoda_full__photo4,agoda_full__photo5,agoda_full__overview,agoda_full__rates_from,agoda_full__continent_id,agoda_full__continent_name,agoda_full__city_id,agoda_full__country_id,agoda_full__number_of_reviews,agoda_full__rating_average,agoda_full__rates_currency,agoda_full__rates_from_exclusive,agoda_full__accommodation_type
1652,,1 Hotel Hanalei Bay,Princeville,USA,56249909,1 Hotel Hanalei Bay,Princeville (HI),United States,110,match_strong,APPROVED,very strong name; country match; city partial; rare token overlap,2450766,Hanalei Bay Resort,86.67,56249909,1582,Independent,2739,Independent,1 Hotel Hanalei Bay,,1 Hotel Hanalei Bay,5520 KA HAKU ROAD,,96722,Princeville (HI),Hawaii,United States,US,5,-159.497194,22.220825,https://www.agoda.com/partners/partnersearch.aspx?hid=56249909,,,,,,,http://pix1.agoda.net/hotelimages/34294992/0/4647cac3674c4ba900e138045d8bdad3.jpeg?s=312x&ce=3,http://pix2.agoda.net/hotelimages/34294992/0/f48a1dfd906286491e41883d0f355db4.jpeg?s=312x&ce=3,http://pix2.agoda.net/hotelimages/34294992/0/73e4f3750445f006763eba958b2be5ca.jpeg?s=312x&ce=3,http://pix5.agoda.net/hotelimages/34294992/0/c697b802ee9fb52e9a8bfa1c87028311.jpeg?s=312x&ce=3,http://pix1.agoda.net/hotelimages/34294992/0/d4dc332549bd83d9ab6a7f3613d64106.jpeg?s=312x&ce=3,,,6,North America,23314,181,23,9.7,USD,,Hotel
1281,,1 Hotel Mayfair,London,England,13829374,1 Hotel Mayfair,London,United Kingdom,120,match_strong,APPROVED,very strong name; country match; city match; rare token overlap,36806727,Mayfair Residences,85,13829374,0,No Chain,0,,1 Hotel Mayfair,,1 Hotel Mayfair,3 Berkeley Street,,W1J 8NE,London,"London, England",United Kingdom,GB,5,-0.1425,51.507629,https://www.agoda.com/partners/partnersearch.aspx?hid=13829374,03:00 PM,,181,8,2023,2023,http://pix5.agoda.net/hotelimages/38046284/0/8792690bba1d1d945511bb65df8945aa.jpeg?s=312x&ce=3,http://pix4.agoda.net/hotelimages/38046284/0/b10e0c4c2ee18f599a2eca39cc478d09.jpeg?s=312x&ce=3,http://pix4.agoda.net/hotelimages/38046284/0/8c667cb61727e04a72a307ad076f5332.jpeg?s=312x&ce=3,http://pix3.agoda.net/hotelimages/38046284/0/a2c1449704afff3dca9c565f7927422b.jpeg?s=312x&ce=3,http://pix5.agoda.net/hotelimages/38046284/0/0bd2a135efc7679297780cf20abf90ff.jpeg?s=312x&ce=3,"Great care is taken to ensure guests experience comfort through top-notch services and amenities. Stay connected with your associates, as complimentary Wi-Fi is available during your entire visit. To facilitate your arrival and departure, you can pre-book airport transfer services prior to checking in.The hotel offers taxi amenities to assist you in discovering your desired offerings in London.When arriving by car, take advantage of the hotel's convenient on-site parking facilities.The hotel offers reception amenities including concierge service, express check-in or check-out, luggage storage and safety deposit boxes to ensure a comfortable stay for guests.Should you require assistance, the ticket service and tours can also aid in booking tickets and securing reservations at the finest shows and events in the vicinity. The hotel also features a fireplace, providing a cozy ambience during cool evenings. Whether it's an extended stay or simply needing fresh attire, dry cleaning service and laundry service provided by hotel ensures your cherished travel garments stay spotless and accessible. Your stay will be comfortable with the presence of 24-hour room service, room service and daily housekeeping as an in-room amenity for your relaxation and enjoyment.Need something at the last minute? The convenience stores has you covered, ensuring your requirements are met without any inconvenience.To ensure the well-being and convenience of all visitors, smoking is strictly prohibited throughout the entire hotel. How about kicking off each day of your getaway with a delicious cup of coffee? At the hotel, relish in the invigorating taste of a freshly brewed, excellent coffee.Various excellent meal offerings at hotel ensure that enticing and easily accessible options are constantly available. Upon your arrival, don't miss experiencing bar for enjoyable in-house evening entertainment. Visitors staying at 1 Hotel Mayfair have the option to receive groceries in their room for meal preparation, courtesy of the unique service provided by the hotel. Throughout the day, engage in the entertaining activities available at 1 Hotel Mayfair.Unwind and conclude each day delightfully by stopping by massage and spa, ensuring a soothing experience. Guests who enjoy maintaining their fitness regimen while on holiday can visit the fitness center provided by hotel.",,4,Europe,233,107,45,9.3,USD,,Hotel
1618,,1 Hotel Toronto,Toronto,Canada,3532925,1 Hotel Toronto,Toronto (ON),Canada,110,match_strong,APPROVED,very strong name; country match; city partial; rare token overlap,47599,Hilton Toronto,63.33,3532925,0,,0,,1 Hotel Toronto,,1 Hotel Toronto,550 Wellington Street West,,M5V 2V4,Toronto (ON),,Canada,CA,5,-79.401741,43.64283,https://www.agoda.com/partners/partnersearch.aspx?hid=3532925,04:00 PM,12:00 PM,,,,,,,,,,,,6,North America,4495,100,8,9.9,USD,,Hotel
1513,,7Pines Ibiza,Sant Josep de Sa Talaia,Spain,10256988,7pines Resort Ibiza,Ibiza,Spain,100,match_strong,APPROVED,very strong name; country match; rare token overlap,168735,Hotel Ibiza,65,10256988,15,Hyatt Hotels,77,Hyatt Hotels,7pines Resort Ibiza,,7pines Resort Ibiza,Calle Puig Delfin s/n,,7830,Ibiza,Balearic Islands,Spain,ES,5,1.2277,38.95253,https://www.agoda.com/partners/partnersearch.aspx?hid=10256988,04:00 PM,12:00 PM,,,,,http://pix1.agoda.net/hotelimages/10256988/0/69387ca90b7f08749b37c9a40aa1c56a.jpg?s=312x&ca=20&ce=0,http://pix3.agoda.net/hotelimages/10256988/0/416c94363e460970ed9c95a3a6e8c3e7.jpg?s=312x&ca=20&ce=0,http://pix2.agoda.net/hotelimages/10256988/0/c3a448bde70b01df4f59955ad09f54bc.jpg?s=312x&ca=20&ce=0,http://pix3.agoda.net/hotelimages/25451537/0/7886e5c19b86c952c379c277491efc8c.jpg?s=312x&ce=0,http://pix4.agoda.net/hotelimages/25451537/0/649bb66c55ac249ac57035de6045aafa.jpg?s=312x&ce=0,"Experience an abundance of unparalleled facilities and features at 7pines Resort Ibiza. Room amenities feature daily housekeeping, allowing you to unwind and make the most of your visit. Each accommodation at 7pines Resort Ibiza is thoughtfully created and adorned to provide visitors with a comfortable, home-like atmosphere.In select rooms of the hotel, guests can enjoy the advantage of having air conditioning available for their convenience. In select rooms, guests can enjoy a touch of amusement with the availability of television for their entertainment. Rest assured, in a few chosen rooms, you will find the convenience of instant tea and mini bar at your disposal. Maintain your cleanliness and comfort using a hair dryer and toiletries available in select guest restrooms. Should you prefer not to venture out for a meal, the enticing culinary choices at hotel are always available for your satisfaction.",,4,Europe,2976,167,5,8.5,USD,,Hotel
1591,,Alila Jabal Akhdar,Jabal Akhdar,Oman,567677,Alila Jabal Akhdar,Nizwa,Oman,100,match_strong,APPROVED,very strong name; country match; rare token overlap,52032425,"Alila Jabal Akhdar, Oman",82.5,567677,15,Hyatt Hotels,4280,Two Roads - Alila,Alila Jabal Akhdar,,Alila Jabal Akhdar,"Al Roose, Jabal Al Akhdar, Al Jabal Al Akhdar",,PO Box 621,Nizwa,Ad Dakhiliyah,Oman,OM,5,57.537868,23.14373,https://www.agoda.com/partners/partnersearch.aspx?hid=567677,02:00 PM,12:00 PM,,2,2013,,http://pix5.agoda.net/hotelimages/567/567677/567677_16062318500044031207.jpg?s=312x&ca=6&ce=1,http://pix1.agoda.net/hotelimages/567/567677/567677_14041018320019038063.jpg?s=312x&ca=2&ce=1,http://pix2.agoda.net/hotelimages/567/567677/567677_16062318500044031208.jpg?s=312x&ca=6&ce=1,http://pix1.agoda.net/hotelimages/567/567677/567677_16062318500044031210.jpg?s=312x&ca=6&ce=1,http://pix3.agoda.net/hotelimages/567/567677/567677_16062318500044031212.jpg?s=312x&ca=6&ce=1,"At Alila Jabal Akhdar, exceptional service and top-notch amenities create a memorable experience for guests. Need some relaxation? Your room features daily housekeeping to make your stay even more comfortable and enjoyable. Crafted for coziness, every guestroom provides an array of features, guaranteeing a tranquil night's sleep while maintaining the level of comfort.At Alila Jabal Akhdar, a selection of rooms can be found that showcase unique design elements such as a balcony or terrace.Rest assured that your hydration needs will be met, as some guestrooms are equipped with instant tea and mini bar.Maintain your cleanliness and feel revitalized using toiletries available in select guest restrooms. During your visit, indulge in a range of delightful culinary choices at hotel to enhance your experience.",,5,Middle East,19738,155,188,9.3,USD,,Hotel
1115,,Alila Villas Uluwatu,Bukit Peninsula,Indonesia,148738,Alila Villas Uluwatu,Bali,Indonesia,100,match_strong,APPROVED,very strong name; country match; rare token overlap,7474680,Uluwatu Suites,65,148738,15,Hyatt Hotels,4280,Two Roads - Alila,Alila Villas Uluwatu,,Alila Villas Uluwatu,"Jl. Belimbing Sari Tambiyak, Pecatu, South Kuta, Badung Regency",,80364,Bali,Bali,Indonesia,ID,5,115.137062,-8.845609,https://www.agoda.com/partners/partnersearch.aspx?hid=148738,03:00 PM,12:00 PM,64,1,2009,,http://pix3.agoda.net/hotelimages/8547062/0/89967a59d934e21a2b1c67dd6a1e8ba7.jpg?s=312x&ca=9&ce=1,http://pix5.agoda.net/hotelimages/148/148738/148738_16042016550041653030.jpg?s=312x&ca=13&ce=1,http://pix1.agoda.net/hotelimages/148/148738/148738_16042016510041652835.jpg?s=312x&ca=6&ce=1,http://pix3.agoda.net/hotelimages/8547062/0/7173fe1c60855c510058316fdeae60ff.jpg?s=312x&ca=9&ce=1,http://pix5.agoda.net/hotelimages/8547062/0/58006be890dddd45c50f3879479227c8.jpg?s=312x&ca=29&ce=0,"Experience an abundance of unparalleled facilities and features at Alila Villas Uluwatu.Share your photos and respond to emails at your convenience, thanks to the free Wi-Fi internet access offered by hotel.Experience the wonders of Bali with ease by utilizing the services provided at car hire. Visitors can take advantage of complimentary parking directly at the hotel.The accommodating team at the reception will aid you with amenities such as concierge service.Room amenities like 24-hour room service, room service and daily housekeeping contribute to making a perfect selection for your stay.Each accommodation at Alila Villas Uluwatu is thoughtfully created and adorned to provide visitors with a comfortable, home-like atmosphere. In select rooms of the hotel, guests can enjoy the advantage of having linen service available for their convenience.At Alila Villas Uluwatu, the uniquely tailored rooms provide a configuration choice resembling a balcony or terrace.Rest assured, in a few chosen rooms, the presence of instant tea can be found.Maintain your cleanliness and comfort using toiletries and bathrobes available in select guest restrooms. Should you prefer not to venture out for a meal, the enticing culinary choices at hotel are always available for your satisfaction. Indulge in the numerous pursuits available at Alila Villas Uluwatu.Experience the unique private beach at hotel, offering exceptional direct access to the ocean just for you.",,2,Asia,17193,192,437,9,USD,,Hotel
1276,,Almyra,Paphos,Cyprus,7389416,Almyra,Paphos,Cyprus,120,match_strong,APPROVED,very strong name; country match; city match; rare token overlap,71508853,KAP - STAY Almyra House,47.5,7389416,0,No Chain,0,,Almyra,,Almyra,Poseidonos Avenue,,8042,Paphos,Paphos,Cyprus,CY,5,32.419041,34.754742,https://www.agoda.com/partners/partnersearch.aspx?hid=7389416,02:00 PM,12:00 PM,187,3,1972,2020,http://pix4.agoda.net/hotelimages/7389416/-1/f054d3760b0e9e5153e900eb65349571.jpg?s=312x&ca=10&ce=1,http://pix3.agoda.net/hotelimages/7389416/-1/b8985a7401c91a4830fc06de9a2827aa.jpg?s=312x&ca=10&ce=1,http://pix1.agoda.net/hotelimages/7389416/-1/badd843d03273823c4e2525efb52bf5b.jpg?s=312x&ca=10&ce=1,http://pix3.agoda.net/hotelimages/7389416/-1/ee8959367d74074c40e4aa35f7f07745.jpg?s=312x&ca=10&ce=1,http://pix2.agoda.net/hotelimages/7389416/-1/f46920813bdf517775712d3e1180eabc.jpg?s=312x&ca=10&ce=1,"Almyra provides flawless service and all the necessary facilities for visitors. Maintain seamless communication using the complimentary Wi-Fi at resort.Car hire offerings at the resort enhance the ease of discovering Paphos.For visitors traveling by automobile, complimentary parking is available. During your stay at this fantastic resort, the attentive front desk personnel can provide you with a range of amenities such as concierge service, luggage storage and safety deposit boxes. In search of city's top entertainment, seek assistance at the resort's ticket service and tours for reservations. During chilly days and evenings, the resort provides an in-house fireplace to ensure your warmth.At the resort, utilize the on-site dry cleaning service and laundry service to maintain your beloved travel attire fresh, allowing you to bring fewer clothes.Craving relaxation? Make the most of your stay at the Almyra with convenient amenities like 24-hour room service, room service and daily housekeeping at your disposal. Kindly note that smoking is prohibited in the resort to ensure fresher air for all visitors.For visitors wishing to smoke, designated smoking zones can be found.At Almyra, every guestroom is provided with convenient amenities and fittings to ensure a comfortable stay.Enhance your experience at resort with the knowledge that certain rooms are equipped with linen service, blackout curtains and air conditioning for your convenience.A few accommodations within Almyra offer unique design elements such as a balcony or terrace.Certain rooms boast in-room amusement features such as television and cable TV, offering guests an enjoyable stay. In select rooms within the resort, bottled water, a coffee or tea maker and mini bar is available to cater to your requirements when desired. In the resort, certain guest bathrooms come equipped with essential bathroom amenities, such as a hair dryer, toiletries and bathrobes, ensuring a comfortable stay for guests. Begin your day with a scrumptious on-site breakfast available each morning at Almyra. Begin your day feeling refreshed and invigorated as you enjoy a delightful cup of quality coffee available at the cafe situated within the resort.At the resort, an assortment of easily accessible and delicious meal choices are available to satisfy your appetite whenever it strikes.At Almyra, they are committed to catering to your unique requirements. They offer a variety of meal choices, encompassing kosher alternatives for those with special dietary preferences. Enjoy an entertaining evening with your fellow travelers at the resort's bar.At the resort, discerning guests can also enjoy on-site culinary facilities like BBQ facilities tailored to their preferences. At Almyra, guests can take pleasure in the delightful recreational amenities provided for their entertainment. During your stay, don't forget to allocate some moments to experience the readily available shoreline.Conclude your holiday perfectly with a visit to massage, hot tub, salon, steam room, spa and sauna on your final days.Be sure to drop by the pool at resort at least once during your stay.At Almyra, utmost care is taken to ensure guests' comfort. Relish your preferred beverage in your swimwear by the resort's poolside bar. Discover the fitness amenities at resort to maintain your health and strength during your getaway.",,4,Europe,517,24,72,9.3,USD,,Resort
1073,,Altira Macau,Macau,China,461705,Altira Macau,Macau,"Macau SAR, China",100,match_strong,APPROVED,very strong name; city match; rare token overlap,61204,Macau Hotel S,53.33,461705,2967,Melco Resorts & Entertainment,4319,Melco Resorts & Entertainment,Altira Macau,,Altira Macau,Avenida de Kwong Tung Taipa,,,Macau,Macau SAR,"Macau SAR, China",MO,5,113.554736,22.161439,https://www.agoda.com/partners/partnersearch.aspx?hid=461705,03:00 PM,11:00 AM,216,38,2007,2019,http://pix1.agoda.net/hotelimages/461705/-1/f39a10b6b1c5b6fccd943418c9c28eca.jpg?s=312x&ce=0,http://pix5.agoda.net/hotelimages/461705/-1/bfc6a677599dabf20c6c837ed4855aeb.jpg?s=312x&ce=0,http://pix1.agoda.net/hotelimages/461705/0/6de5d035941aae825b1d50d03894d67a.jpg?s=312x&ca=7&ce=1,http://pix5.agoda.net/hotelimages/461705/-1/cf9f5d1d46a42c62f98ff9aa7874db6a.jpg?s=312x&ce=0,http://pix5.agoda.net/hotelimages/461705/-1/10c959ef06d40b6ccc21da13fee2d862.jpg?s=312x&ce=0,"Altira Macau offers top-notch services and amenities, ensuring guests experience utmost comfort. Complimentary internet access is available in the hotel to ensure you stay connected during your visit. Discover the wonders of Macau with ease by utilizing the services provided by taxi and shuttle. For guests with their own vehicle, parking facilities are provided. Continuously receive the support you require through front desk amenities such as concierge service, luggage storage and safety deposit boxes. Always look your best in your preferred attire with the dry cleaning service and laundry service provided at Altira Macau.Craving relaxation? In-room amenities such as room service and daily housekeeping allow you to maximize your time spent inside the room.For the health and well-being of all guests and staff, smoking is restricted exclusively to assigned zones. Accommodations come equipped with all the conveniences required for a restful night's slumber. A selection of rooms feature linen service, blackout curtains and air conditioning to ensure your comfort and convenience. A few accommodations at Altira Macau also include unique design elements like a separate living room. A few chosen rooms are equipped with daily newspaper, television, in-room video streaming and cable TV to ensure guest amusement. In certain rooms, the hotel offers visitors access to a refrigerator, a coffee or tea maker, bottled water, instant coffee, instant tea and mini bar. Altira Macau offers a hair dryer, toiletries, bathrobes and towels in the restrooms of specific accommodations. All adore a delightful cup of coffee! An on-site coffee shop ensures you can relish a cup of authentic, freshly-brewed coffee every morning -- or whenever you desire it. Allow your journey to be free from the pangs of hunger! On-site eateries offer delicious and accessible meal choices. An evening spent within the hotel's bar and casino may prove to be just as entertaining as venturing out with your fellow adventurers. Altira Macau provides a superb assortment of leisure amenities for guests to enjoy.Conclude your days in complete tranquility by paying a visit to massage, hot tub, salon, steam room, spa and sauna for ultimate relaxation.At Altira Macau, a wide array of amenities guarantees a fulfilling experience throughout your visit. Make your holiday truly memorable by taking a rejuvenating plunge into the pool. At the hotel fitness center, you have the option to engage in your daily exercise routine or simply alleviate your jet lag by breaking a sweat.",,2,Asia,21397,169,2517,9,USD,,Hotel
1774,,Alvear Palace Hotel,Buenos Aires,Argentina,2880,Alvear Palace Hotel,Buenos Aires,Argentina,120,match_strong,APPROVED,very strong name; country match; city match; rare token overlap,454483,Alvear Art Hotel,85,2880,0,No Chain,0,,Alvear Palace Hotel,,Alvear Palace Hotel,Avenida Alvear 1891,,C1129AAA,Buenos Aires,,Argentina,AR,5,-58.389076,-34.587704,https://www.agoda.com/partners/partnersearch.aspx?hid=2880,03:00 PM,12:00 PM,191,10,1932,2012,http://pix3.agoda.net/hotelimages/288/2880/2880_130627105708.jpg?s=312x&ca=0&ce=1,http://pix1.agoda.net/hotelimages/288/2880/2880_13060408050012629075.jpg?s=312x&ca=0&ce=1,http://pix4.agoda.net/hotelimages/288/2880/2880_13060408040012629055.jpg?s=312x&ca=0&ce=1,http://pix3.agoda.net/hotelimages/288/2880/2880_13060408040012629056.jpg?s=312x&ca=0&ce=1,http://pix5.agoda.net/hotelimages/288/2880/2880_13060408040012629057.jpg?s=312x&ca=0&ce=1,"Alvear Palace Hotel offers top-notch services and amenities, ensuring guests experience utmost comfort. Complimentary internet access is available in the hotel to ensure you stay connected during your visit. Arrange your trips to and from the airport using the hotel's convenient transportation services booking.Car hire and shuttle offerings at the hotel simplify arranging your excursions, explorations, and additional activities in Buenos Aires. For guests with their own vehicle, parking facilities are provided. Continuously receive the support you require through front desk amenities such as concierge service, express check-in or check-out, luggage storage and safety deposit boxes.At the hotel, their ticket service and tours is also capable of assisting with booking tickets and securing reservations for entertainment and adventures.Always look your best in your preferred attire with the dry cleaning service and laundry service provided at Alvear Palace Hotel.Craving relaxation? In-room amenities such as 24-hour room service, room service and daily housekeeping allow you to maximize your time spent inside the room. Due to health concerns, smoking is strictly prohibited within the entire premises of hotel. For the health and well-being of all guests and staff, smoking is restricted exclusively to assigned zones. Accommodations come equipped with all the conveniences required for a restful night's slumber.A selection of rooms at Alvear Palace Hotel come furnished with air conditioning to cater to your needs and comfort. A few chosen rooms are equipped with daily newspaper, television and cable TV to ensure guest amusement. In certain rooms, the hotel offers visitors access to a refrigerator, bottled water and mini bar.Alvear Palace Hotel offers a hair dryer, toiletries and bathrobes in the restrooms of specific accommodations. A delightful breakfast is the perfect way to begin your day, and at Alvear Palace Hotel, you can always indulge in a scrumptious meal on-site.All adore a delightful cup of coffee! An on-site coffee shop ensures you can relish a cup of authentic, freshly-brewed coffee every morning -- or whenever you desire it.Allow your journey to be free from the pangs of hunger! On-site eateries offer delicious and accessible meal choices. An evening spent at hotel's bar can offer as much enjoyment as venturing out with your fellow travelers. Alvear Palace Hotel provides a superb assortment of leisure amenities for guests to enjoy. Conclude your days in complete tranquility by paying a visit to massage, hot tub, salon, solarium, steam room, spa and sauna for ultimate relaxation. At Alvear Palace Hotel, a wide array of amenities guarantees a fulfilling experience throughout your visit. Make your holiday truly memorable by taking a rejuvenating plunge into the pool.At Alvear Palace Hotel, the poolside bar provides an excellent incentive to enjoy extended hours in your swimwear. At the hotel fitness center, you have the option to engage in your daily exercise routine or simply alleviate your jet lag by breaking a sweat.",,8,South America,9294,5,28,9.3,USD,,Hotel
1136,,Aman Tokyo,Tokyo,Japan,15824204,Aman Tokyo,Tokyo,Japan,120,match_strong,APPROVED,very strong name; country match; city match; rare token overlap,569164,Palace Hotel Tokyo,85,15824204,0,No Chain,0,,Aman Tokyo,,Aman Tokyo,"The Otemachi Tower, 1 Chome-5-6",,100-0004,Tokyo,,Japan,JP,5,139.765366,35.685555,https://www.agoda.com/partners/partnersearch.aspx?hid=15824204,03:00 PM,12:00 PM,,,,,,,,,,,,2,Asia,5085,3,25,9,USD,,Hotel
