oltra_hotel_id,oltra_hotel_name,oltra_city,agoda_hotel_name,agoda_city,agoda_photo1
1198,Avani+ Riverside Bangkok Hotel,Bangkok,Avani+ Riverside Bangkok Hotel,Bangkok,http://pix5.agoda.net/hotelimages/115/1156538/1156538_17011113480050251213.jpg?s=1024x
1156,Baglioni Resort Maldives,Maagau Island,Baglioni Resort Maldives - Luxury All Inclusive,Maldive Islands,http://pix5.agoda.net/hotelimages/19090091/-1/d921a9261d724168083f3e1371d85bae.jpg?s=1024x
1520,El Palace Barcelona,Barcelona,El Palace Barcelona,Barcelona,http://pix3.agoda.net/hotelimages/13826690/0/dc6bbe9544e02aa737b823f3803acf22.jpg?s=1024x
1674,Four Seasons Hotel Philadelphia at Comcast Center,Philadelphia,Four Seasons Hotel Philadelphia at Comcast Center,Philadelphia (PA),http://pix3.agoda.net/hotelimages/6950820/-1/461cc0479740ff480d6358310db90dae.jpg?s=1024x
1208,Hotel Muse Bangkok,Bangkok,"Hotel Muse Bangkok, Autograph Collection",Bangkok,http://pix1.agoda.net/hotelimages/262813/0/265fe58caa21d77253d1855fb8307878.jpg?s=1024x
1169,Kudadoo Maldives Private Island,Kudadoo Island,Kudadoo Maldives Private Island  Luxury All inclusive,Maldive Islands,http://pix4.agoda.net/hotelimages/5750598/-1/a5efdca085d406eb617aa48fd208ea3e.jpg?s=1024x
1172,Patina Maldives,Fari Islands Archipelago,Patina Maldives Fari Islands,Maldive Islands,http://pix2.agoda.net/hotelimages/67594597/0/13d4b4947980b29c8178f943c0e44198.jpg?s=1024x
1252,Sugar Beach,Sourfriere,"Sugar Beach, A Viceroy Resort",Belle Vue,http://pix3.agoda.net/hotelimages/2673298/-1/f53c6c7352193a6a57bf84afc971ceb9.jpg?s=1024x
1714,The Boca Raton,Boca Raton,Renaissance Boca Raton Hotel,Boca Raton (FL),http://pix2.agoda.net/hotelimages/2455809/-1/9e672fb34ff1be4ee7acd666da2c238f.jpg?s=1024x
1275,Villa Dubrovnik,Dubrovnik,Villa Dubrovnik,Dubrovnik,http://pix5.agoda.net/hotelimages/6772901/0/cc148a4dee1f17c5f30e1379d97cca4d.jpeg?s=1024x
