Hotel Name	City	Country	Award
Cap Juluca, A Belmond Hotel, Anguilla	Anguilla	Anguilla	Forbes 5 Star
Hotel das Cataratas, A Belmond Hotel, Iguassu Falls	Iguassu Falls	Brazil	Forbes 5 Star
Amansara	Krong Siem Reap	Cambodia	Forbes 5 Star
Fairmont Pacific Rim	Vancouver	Canada	Forbes 5 Star
Four Seasons Hotel Toronto	Toronto	Canada	Forbes 5 Star
Shangri-La Hotel, Toronto	Toronto	Canada	Forbes 5 Star
The Hazelton Hotel	Toronto	Canada	Forbes 5 Star
The St. Regis Toronto	Toronto	Canada	Forbes 5 Star
Kimpton Seafire Resort + Spa	Grand Cayman	Cayman Islands	Forbes 5 Star
Banyan Tree Macau	Macau	China	Forbes 5 Star
Bvlgari Hotel Beijing	Beijing	China	Forbes 5 Star
Bvlgari Hotel Shanghai	Shanghai	China	Forbes 5 Star
Capella at Galaxy Macau	Macau	China	Forbes 5 Star
Capella Shanghai, Jian Ye Li	Shanghai	China	Forbes 5 Star
Emerald Tower at MGM COTAI	Macau	China	Forbes 5 Star
Encore Macau	Macau	China	Forbes 5 Star
Epic Tower at Studio City Macau	Macau	China	Forbes 5 Star
Four Seasons Hotel Macao	Macau	China	Forbes 5 Star
Galaxy Hotel Macau	Macau	China	Forbes 5 Star
Grand Lisboa Hotel	Macau	China	Forbes 5 Star
Grand Lisboa Palace Macau	Macau	China	Forbes 5 Star
Hotel Okura Macau	Macau	China	Forbes 5 Star
Londoner Court	Macau	China	Forbes 5 Star
Mandarin Oriental Pudong, Shanghai	Shanghai	China	Forbes 5 Star
MGM MACAU	Macau	China	Forbes 5 Star
Morpheus	Macau	China	Forbes 5 Star
Nuwa Macau	Macau	China	Forbes 5 Star
Paiza Grand	Macau	China	Forbes 5 Star
Paiza Lofts	Macau	China	Forbes 5 Star
Palazzo Versace Macau	Macau	China	Forbes 5 Star
Raffles at Galaxy Macau	Macau	China	Forbes 5 Star
Regent Hong Kong	Hong Kong	China	Forbes 5 Star
Skylofts at MGM COTAI	Macau	China	Forbes 5 Star
Star Tower at Studio City Macau	Macau	China	Forbes 5 Star
The Grand Suites at Four Seasons	Macau	China	Forbes 5 Star
THE KARL LAGERFELD	Macau	China	Forbes 5 Star
The Londoner Hotel	Macau	China	Forbes 5 Star
The Ritz-Carlton, Chengdu	Chengdu	China	Forbes 5 Star
